,count,mean,std,min,25%,50%,75%,max
year,372.0,2000.0,8.956318072912584,1985.0,1992.0,2000.0,2008.0,2015.0
suicides_no,372.0,2779.6048387096776,2752.716420154434,50.0,558.75,2193.0,4145.5,11767.0
population,372.0,21650610.755376343,9448629.560544008,4064000.0,18185450.0,20375469.0,22616944.5,43805214.0
suicidesper100k,372.0,13.819811827956993,13.229874761987173,0.26,3.9725,6.890000000000001,23.305,58.95
gdp_per_capita,372.0,39269.6129032258,12334.117580785927,19693.0,27760.0,39218.0,51585.0,60387.0
